claim_id,claim_date,settlement_date,product_line,sub_product,region_code,region_name,country,claim_type,claim_status,reported_amount_eur,paid_amount_eur,reserved_amount_eur,policyholder_segment,fraud_flag,adjuster_id,resolution_days
CLM-2025-Q2002,2025-04-04,,Motor,Auto-Collision,ES-MAD,Madrid,Spain,Collision,Under Investigation,14050,0,12300,SME,N,ADJ-016,
CLM-2025-Q2023,2025-05-09,,Motor,Fleet,FR-PAC,Provence-Alpes-Cote d'Azur,France,Glass Damage,Open,2600,0,1750,Individual,N,ADJ-002,
CLM-2025-Q2036,2025-06-12,,Motor,Auto-Collision,IT-LOM,Lombardy,Italy,Liability,Under Investigation,10400,0,5250,Individual,N,ADJ-011,
CLM-2025-Q2053,2025-06-30,2025-07-14,Home,Landlord,IT-CAM,Campania,Italy,Subsidence,Paid,8000,4000,0,Individual,N,ADJ-007,14
CLM-2025-Q2107,2025-04-22,2025-06-25,Commercial,Business-Interruption,ES-VAL,Valencia,Spain,Business Interruption,Paid,5100,3150,0,Corporate,N,ADJ-017,64
CLM-2025-Q2069,2025-05-23,,Home,Home-Combined,ES-VAL,Valencia,Spain,Storm Damage,Under Investigation,7550,0,5150,SME,N,ADJ-009,
CLM-2025-Q2095,2025-06-07,2025-07-14,Health,Health-Group,IT-LOM,Lombardy,Italy,Dental,Paid,7550,3600,0,Individual,N,ADJ-016,37
CLM-2025-Q2106,2025-04-05,2025-06-06,Commercial,Professional-Indemnity,ES-MAD,Madrid,Spain,Equipment Breakdown,Paid,500,250,0,SME,N,ADJ-010,62
CLM-2025-Q2104,2025-04-01,2025-05-02,Commercial,Commercial-Liability,IT-LAZ,Lazio,Italy,Property Damage,Paid,41150,19250,0,SME,N,ADJ-015,31
CLM-2025-Q2092,2025-05-04,,Health,Health-Group,FR-OCC,Occitanie,France,Optical,Open,7700,0,5100,Individual,N,ADJ-005,
CLM-2025-Q2068,2025-05-23,2025-06-12,Home,Landlord,PT-ALG,Algarve,Portugal,Theft,Denied,23600,0,0,SME,N,ADJ-008,20
CLM-2025-Q2079,2025-04-17,2025-06-16,Health,Health-Family,IT-VEN,Veneto,Italy,Optical,Paid,3400,2700,0,SME,N,ADJ-013,60
CLM-2025-Q2005,2025-06-05,2025-06-19,Motor,Fleet,IT-CAM,Campania,Italy,Vandalism,Paid,1600,1000,0,Corporate,N,ADJ-025,14
CLM-2025-Q2126,2025-06-24,2025-08-08,Life,Income-Protection,FR-OCC,Occitanie,France,Critical Illness,Paid,23150,9500,0,Individual,N,ADJ-009,45
CLM-2025-Q2097,2025-05-31,,Health,Health-Individual,ES-VAL,Valencia,Spain,Physiotherapy,Under Investigation,500,0,300,SME,N,ADJ-024,
CLM-2025-Q2118,2025-04-02,,Life,Term-Life,FR-OCC,Occitanie,France,Disability,Open,60250,0,30250,Individual,N,ADJ-019,
CLM-2025-Q2052,2025-04-09,2025-06-03,Home,Home-Combined,ES-CAT,Catalonia,Spain,Theft,Paid,20100,10950,0,Individual,N,ADJ-008,55
CLM-2025-Q2083,2025-05-23,2025-06-08,Health,Health-Family,ES-MAD,Madrid,Spain,Medical,Paid,500,300,0,Individual,Suspected,ADJ-006,16
CLM-2025-Q2115,2025-04-22,,Commercial,Business-Interruption,FR-IDF,Ile-de-France,France,Liability,Under Investigation,13150,0,7900,SME,Confirmed,ADJ-018,
CLM-2025-Q2040,2025-04-20,2025-05-28,Home,Landlord,IT-LAZ,Lazio,Italy,Liability,Paid,13750,8800,0,SME,N,ADJ-017,38
CLM-2025-Q2031,2025-04-29,2025-05-27,Motor,Auto-ThirdParty,ES-AND,Andalusia,Spain,Vandalism,Paid,11800,8350,0,SME,N,ADJ-023,28
CLM-2025-Q2022,2025-06-10,,Motor,Auto-Comprehensive,IT-VEN,Veneto,Italy,Theft,Open,6100,0,4950,Individual,N,ADJ-001,
CLM-2025-Q2033,2025-06-21,2025-07-15,Motor,Auto-Collision,FR-OCC,Occitanie,France,Glass Damage,Paid,10500,8100,0,SME,N,ADJ-006,24
CLM-2025-Q2102,2025-06-01,2025-07-17,Commercial,Commercial-Liability,ES-AND,Andalusia,Spain,Cyber,Denied,15250,0,0,Corporate,N,ADJ-019,46
CLM-2025-Q2010,2025-04-30,2025-06-30,Motor,Fleet,ES-AND,Andalusia,Spain,Vandalism,Paid,500,450,0,Individual,N,ADJ-003,61
CLM-2025-Q2064,2025-04-05,,Home,Home-Combined,ES-CAT,Catalonia,Spain,Liability,Open,5350,0,2850,Individual,N,ADJ-002,
CLM-2025-Q2057,2025-06-23,2025-06-24,Home,Landlord,PT-LIS,Lisbon,Portugal,Water Damage,Paid,1200,750,0,Individual,N,ADJ-005,1
CLM-2025-Q2050,2025-06-08,2025-06-29,Home,Home-Buildings,ES-VAL,Valencia,Spain,Subsidence,Denied,6700,0,0,Individual,N,ADJ-004,21
CLM-2025-Q2020,2025-06-16,2025-07-26,Motor,Auto-Comprehensive,ES-AND,Andalusia,Spain,Vandalism,Paid,3950,3050,0,Individual,N,ADJ-001,40
CLM-2025-Q2045,2025-05-27,2025-05-30,Home,Landlord,PT-ALG,Algarve,Portugal,Subsidence,Paid,15550,6700,0,Individual,N,ADJ-015,3
CLM-2025-Q2058,2025-05-07,,Home,Home-Contents,FR-ARA,Auvergne-Rhone-Alpes,France,Storm Damage,Under Investigation,4300,0,3600,Individual,N,ADJ-015,
CLM-2025-Q2112,2025-05-28,2025-07-17,Commercial,Commercial-Liability,ES-CAT,Catalonia,Spain,Property Damage,Paid,36700,15950,0,SME,N,ADJ-005,50
CLM-2025-Q2082,2025-05-11,,Health,Health-Individual,FR-ARA,Auvergne-Rhone-Alpes,France,Physiotherapy,Under Investigation,500,0,350,Corporate,N,ADJ-019,
CLM-2025-Q2062,2025-06-19,2025-06-21,Home,Home-Combined,FR-PAC,Provence-Alpes-Cote d'Azur,France,Fire,Paid,3400,1950,0,Individual,N,ADJ-006,2
